from	to
B2M	JUN
EP300	JUN
EP300	NFKB1
IFNG	B2M
IFNG	EP300
IFNG	NFKB1
IFNG	STAT1
NFKB1	JUN
EP300	IL1B
JUN	IL1B
NFKB1	IL1B
STAT1	IL1B
