from	to
CIITA	TAF1
CSF3	CXCL12
CSF3	MAPK3
CXCL12	JUN
CXCL12	MAPK3
EP300	JUN
EP300	SP1
JUN	MAPK3
JUN	SP1
MAPK3	CIITA
MAPK3	EP300
MAPK3	JUN
MAPK3	SP1
TAF1	JUN
EP300	IL7
JUN	IL7
SP1	IL7
TAF1	IL7
