from	to
ACVR1	CREBBP
AR	ESR1
BMP6	ACVR1
BMP6	BMPR2
BMP6	ESR1
BMPR2	ACVR1
BMPR2	TOPBP1
CREBBP	AR
CREBBP	ARNT
CREBBP	E2F1
CREBBP	MYC
E2F1	AR
E2F1	MYC
E2F1	TOPBP1
ESR1	AR
ESR1	MYC
MYC	E2F1
TOPBP1	E2F1
AR	TGFB2
ARNT	TGFB2
E2F1	TGFB2
MYC	TGFB2
