from	to
JUN	STAT3
LYN	JUN
LYN	NFKB1
LYN	PAG1
LYN	STAT3
NFKB1	JUN
NRAS	TFAP2A
PAG1	JUN
PDGFB	LYN
PDGFB	NRAS
PDGFB	PAG1
PDGFB	STAT3
TFAP2A	JUN
JUN	CCL22
NFKB1	CCL22
STAT3	CCL22
TFAP2A	CCL22
