from	to
AKT3	CREB1
AKT3	JUN
ANGPT1	NFKB1
ANGPT1	RELA
FGF13	JUN
JUN	CREB1
NFKB1	JUN
NFKB1	RELA
RELA	JUN
RELA	NFKB1
VEGFA	AKT3
VEGFA	ANGPT1
VEGFA	FGF13
CREB1	CCL5
JUN	CCL5
NFKB1	CCL5
RELA	CCL5
