from	to
EGF	AR
EGF	ERBB4
EGF	NFKB1
EGF	SKP2
EP300	AR
EP300	MYC
EP300	NFKB1
ERBB4	MYC
MYC	NFKB1
NFKB1	MYC
SKP2	EP300
SKP2	MYC
AR	CSF1
EP300	CSF1
MYC	CSF1
NFKB1	CSF1
