from	to
AKT1	AR
AKT1	FBXO31
AKT1	SRC
AKT1	STAT1
AR	STAT1
FBXO31	RELB
FER	AR
PDGFB	AKT1
PDGFB	FER
PDGFB	SRC
PDGFB	STAT1
SRC	AKT1
SRC	AR
SRC	E2F4
SRC	FER
SRC	STAT1
AR	IL15
E2F4	IL15
RELB	IL15
STAT1	IL15
