from	to
EGFR	NFKB1
EGFR	RELA
EP300	JUN
EP300	NFKB1
EP300	RELA
NFKB1	JUN
NFKB1	RELA
RELA	JUN
RELA	NFKB1
SDC2	JUN
SUCLA2	NFKB1
TGFB1	EGFR
TGFB1	EP300
TGFB1	SDC2
TGFB1	SUCLA2
EP300	CCL4
JUN	CCL4
NFKB1	CCL4
RELA	CCL4
