from	to
ATF2	JUN
BMP4	ATF2
BMP4	BMPR1B
BMP4	MAP3K7
BMP4	TP53
BMPR1B	MAP3K7
BMPR1B	PPP2CA
EP300	ATF2
EP300	JUN
EP300	NFKB1
EP300	SP1
EP300	TP53
JUN	ATF2
JUN	SP1
JUN	TP53
MAP3K7	ATF2
MAP3K7	NFKB1
NFKB1	JUN
NFKB1	TP53
PPP2CA	MAP3K7
PPP2CA	SP1
PPP2CA	TP53
TP53	EP300
TP53	NFKB1
EP300	IL1A
JUN	IL1A
NFKB1	IL1A
SP1	IL1A
