from	to
IL4	HIF1A
IL4	JUN
IL4	MAPK14
IL4	NFKB1
JUN	SP1
MAPK14	JUN
MAPK14	NFKB1
MAPK14	SP1
NFKB1	JUN
HIF1A	PDGFB
JUN	PDGFB
NFKB1	PDGFB
SP1	PDGFB
