from	to
IL12B	NFKB1
IL12B	RELA
IL12B	STAT1
IL12B	STAT3
IL1B	IL12B
IL1B	NFKB1
IL1B	RELA
IL1B	STAT1
NFKB1	IL12B
NFKB1	RELA
RELA	IL12B
RELA	NFKB1
STAT1	RELA
STAT1	STAT3
STAT3	STAT1
NFKB1	IL10
RELA	IL10
STAT1	IL10
STAT3	IL10
