from	to
B2M	JUN
IFNG	B2M
IFNG	IL15
IFNG	IL4
IFNG	TP53
IL15	MYC
IL4	FOXP3
IL4	JUN
JUN	IL4
JUN	MYC
JUN	TP53
MYC	IL15
MYC	TP53
FOXP3	TGFB1
JUN	TGFB1
MYC	TGFB1
TP53	TGFB1
