from	to
CSF2	IL2
CSF2	NFKB1
CSF2	PRKACG
EP300	CSF2
EP300	MYC
EP300	NFKB1
IL2	CSF2
IL2	MYC
IL2	STAT1
IL3	CSF2
IL3	IL2
IL3	PIM1
IL3	PRKACG
MYC	NFKB1
NFKB1	CSF2
NFKB1	IL2
NFKB1	MYC
PIM1	MYC
PRKACG	CSF2
PRKACG	EP300
STAT1	MYC
STAT1	PIM1
EP300	CSF1
MYC	CSF1
NFKB1	CSF1
STAT1	CSF1
