from	to
AR	EGFR
AR	ESR1
CALM2	EGFR
CALM2	ESR1
CALM2	ESR2
E2F1	AR
EGFR	AR
EGFR	CALM2
EGFR	E2F1
EGFR	ERBB4
EGFR	ESR1
ERBB4	EGFR
ERBB4	ESR1
ESR1	AR
ESR1	ESR2
ESR2	ESR1
TGFA	EGFR
TGFA	ERBB4
AR	EGF
E2F1	EGF
ESR1	EGF
ESR2	EGF
