from	to
CDK1	CEBPB
CDK1	E2F4
CDK1	ESCO1
CEBPB	E2F4
E2F4	CDK1
ERBB2	CDK1
ERBB2	ERBB4
ERBB4	WWP1
ESCO1	RAD21
GSK3B	CDK1
GSK3B	CEBPB
GSK3B	NR3C1
NR3C1	CEBPB
TGFA	CEBPB
TGFA	ERBB2
TGFA	ERBB4
TGFA	GSK3B
TP63	TFAP2C
WWP1	ERBB4
WWP1	TP63
E2F4	CLCF1
NR3C1	CLCF1
RAD21	CLCF1
TFAP2C	CLCF1
