from	to
IL15	IL2RG
IL15	JAK3
IL2RG	JAK3
IL2RG	STAT1
IL2RG	STAT5A
IL2RG	STAT5B
JAK3	IL2RG
JAK3	STAT1
JAK3	STAT4
JAK3	STAT5A
JAK3	STAT5B
STAT5A	JAK3
STAT1	IFNG
STAT4	IFNG
STAT5A	IFNG
STAT5B	IFNG
