from	to
CSF2	NFKB1
IL3	CSF2
IL3	IL4
IL3	PIK3CA
IL3	PIM1
IL4	CSF2
IL4	JUN
IL4	NFKB1
IL4	PIK3CA
JUN	CSF2
JUN	IL4
JUN	SP1
NFKB1	CSF2
NFKB1	IL4
NFKB1	JUN
NFKB1	RELA
PIK3CA	NFKB1
PIK3CA	RELA
PIK3CA	SP1
PIM1	RELA
RELA	CSF2
RELA	JUN
RELA	NFKB1
RELA	SP1
JUN	TNF
NFKB1	TNF
RELA	TNF
SP1	TNF
