from	to
ACVR1	ACVR1B
ACVR1	SMAD2
ACVR1	STAT1
ACVR1B	SMAD2
ACVR1B	XIAP
ACVR2B	ACVR1
ACVR2B	ACVR1B
ACVR2B	SMAD2
ANTXR1	PKM
AR	STAT1
GDF11	ACVR1B
GDF11	ACVR2B
GDF11	ANTXR1
PKM	AR
SMAD2	E2F4
TP53	AR
TP53	PKM
TP53	XIAP
XIAP	TP53
AR	FGF2
E2F4	FGF2
STAT1	FGF2
TP53	FGF2
