from	to
CASP10	NFKB1
CASP10	RIPK1
EP300	NFKB1
EP300	RELA
EP300	SP1
MAP3K1	MAPK1
MAP3K1	NFKB1
MAP3K1	RELA
MAP3K1	SP1
MAPK1	EP300
MAPK1	MAP3K1
MAPK1	NFKB1
MAPK1	RELA
MAPK1	SP1
NFKB1	RELA
RELA	NFKB1
RELA	SP1
RIPK1	CASP10
RIPK1	MAP3K1
RIPK1	NFKB1
RIPK1	RELA
TNFSF10	CASP10
TNFSF10	MAP3K1
TNFSF10	MAPK1
TNFSF10	RIPK1
EP300	CSF2
NFKB1	CSF2
RELA	CSF2
SP1	CSF2
