from	to
CASP10	TP53
CASP8	AR
HIF1A	TP53
MAPK1	AR
MAPK1	CASP8
MAPK1	HIF1A
MAPK1	TP53
TNFSF10	CASP10
TNFSF10	CASP8
TNFSF10	MAPK1
TP53	AR
TP53	CASP10
TP53	CASP8
TP53	HIF1A
AR	KITLG
HIF1A	KITLG
TP53	KITLG
