from	to
GSK3A	JUN
GSK3A	MYC
GSK3A	SMAD3
GSK3A	TP53
IGF1	GSK3A
IGF1	INSR
IGF1	PIN1
IGF1	YBX1
INSR	TP53
INSR	YBX1
JUN	MYC
JUN	SMAD3
JUN	TP53
MYC	SMAD3
MYC	TP53
PIN1	JUN
PIN1	MYC
PIN1	TP53
SMAD3	JUN
YBX1	JUN
JUN	TGFB1
MYC	TGFB1
SMAD3	TGFB1
TP53	TGFB1
