from	to
FGF9	FOS
FOS	IL4
FOXP3	NFKB1
IFNG	FGF9
IFNG	IL17A
IFNG	IL4
IFNG	NFKB1
IL17A	NFKB1
IL17A	RELA
IL4	FOXP3
IL4	NFKB1
NFKB1	FOS
NFKB1	IL17A
NFKB1	IL4
NFKB1	RELA
RELA	FOS
RELA	IL17A
RELA	NFKB1
FOS	CD40LG
FOXP3	CD40LG
NFKB1	CD40LG
RELA	CD40LG
