from	to
JUN	TNF
LTA	MAP3K1
LTA	TNFRSF1A
LTA	TNFRSF1B
MAP3K1	JUN
MAP3K1	NFKB1
MAP3K1	RELA
NFKB1	JUN
NFKB1	RELA
NFKB1	TNF
RELA	JUN
RELA	NFKB1
RELA	TNF
STAT1	RELA
TNF	JUN
TNF	MAP3K1
TNF	NFKB1
TNF	RELA
TNF	STAT1
TNF	TNFRSF1A
TNF	TNFRSF1B
TNFRSF1A	MAP3K1
TNFRSF1A	NFKB1
TNFRSF1A	RELA
TNFRSF1A	TNF
TNFRSF1A	TNFRSF1B
TNFRSF1B	MAP3K1
TNFRSF1B	TNF
TNFRSF1B	TNFRSF1A
JUN	CXCL8
NFKB1	CXCL8
RELA	CXCL8
STAT1	CXCL8
