from	to
CSF2	NFKB1
CSF2	PRKACB
CSF2	SDC2
CSF2	TNFSF11
JUN	EGR1
NFKB1	JUN
NFKB1	RELA
PRKACB	EGR1
PRKACB	RELA
RELA	EGR1
RELA	JUN
RELA	NFKB1
SDC2	JUN
TNFSF11	NFKB1
TNFSF11	RELA
EGR1	TNF
JUN	TNF
NFKB1	TNF
RELA	TNF
