from	to
EP300	NFKB1
EP300	RELA
EP300	SP1
HDAC3	EP300
HDAC3	NFKB1
HDAC3	RELA
MAPK8	RELA
MAPK8	SP1
NFKB1	RELA
RELA	NFKB1
RELA	SP1
TNFRSF1A	HDAC3
TNFRSF1A	NFKB1
TNFRSF1A	RELA
TNFRSF8	NFKB1
TNFSF12	MAPK8
TNFSF12	TNFRSF1A
TNFSF12	TNFRSF8
EP300	CXCL5
NFKB1	CXCL5
RELA	CXCL5
SP1	CXCL5
