from	to
IL3	PIM1
IL3	PRKACA
MYOM2	TBP
PIM1	MYC
PRKACA	GATA3
PRKACA	MYOM2
PRKACA	PIM1
GATA3	IL13
MYC	IL13
TBP	IL13
