from	to
AR	ESR1
DAPK3	AR
DAPK3	TP53
ESR1	AR
FGFR2	ESR1
FGFR2	NCAM1
IFNG	TP53
IL15	IFNG
IL15	NCAM1
IL15	ULK1
NCAM1	FGFR2
TP53	AR
TP53	ESR1
TP53	ULK1
ULK1	DAPK3
AR	LIF
ESR1	LIF
TP53	LIF
