from	to
EGF	JUN
EGF	NFKB1
EGF	PPP2CA
EGF	SKP2
EP300	JUN
EP300	NFKB1
EP300	SP1
JUN	SP1
NFKB1	JUN
PPP2CA	SP1
SKP2	EP300
EP300	IL1A
JUN	IL1A
NFKB1	IL1A
SP1	IL1A
