from	to
BCL3	NFKB2
CREBBP	RELB
CREBBP	STAT1
IFNL1	IFNLR1
IFNL1	STAT1
IFNLR1	TYK2
NFKB2	RELB
STAT1	CREBBP
TYK2	BCL3
TYK2	STAT1
NFKB2	CCL21
RELB	CCL21
