from	to
ANGPT1	NFKB1
ANGPT1	RELA
HGF	ANGPT1
HGF	EGR1
HGF	RELA
HGF	SDC2
JUN	EGR1
NFKB1	JUN
NFKB1	RELA
RELA	EGR1
RELA	JUN
RELA	NFKB1
SDC2	JUN
EGR1	IFNG
JUN	IFNG
NFKB1	IFNG
RELA	IFNG
