from	to
CD8B	JUN
HLA-E	CD8B
HLA-E	STAT1
IFNL1	HLA-E
IFNL1	IFNLR1
IFNL1	STAT1
IFNLR1	JAK2
JAK2	PRKACA
JAK2	RELA
JAK2	STAT1
JUN	SMAD7
JUN	SP1
PRKACA	JAK2
PRKACA	POU2F1
PRKACA	RELA
RELA	JUN
RELA	SP1
SMAD7	SMAD1
SP1	SMAD7
STAT1	RELA
STAT1	SMAD7
JUN	SPP1
POU2F1	SPP1
SMAD1	SPP1
SP1	SPP1
