from	to
EP300	NFKB1
EP300	RELA
EP300	SP1
IL1A	IL1RAP
IL1A	MAP3K1
IL1A	MAPK1
IL1A	RELA
IL1RAP	NFKB1
IL1RAP	RELA
MAP3K1	MAPK1
MAP3K1	NFKB1
MAP3K1	RELA
MAP3K1	SP1
MAPK1	EP300
MAPK1	MAP3K1
MAPK1	NFKB1
MAPK1	RELA
MAPK1	SP1
NFKB1	RELA
RELA	NFKB1
RELA	SP1
EP300	CSF2
NFKB1	CSF2
RELA	CSF2
SP1	CSF2
