from	to
AR	NR3C1
AR	STAT3
CDK2	AR
CDK2	NR3C1
CDK2	STAT3
FGF10	CDK2
FGF10	FGFR4
FGFR4	STAT3
NR3C1	AR
STAT3	AR
AR	CSF3
NR3C1	CSF3
STAT3	CSF3
