from	to
MAPK8	JUN
MAPK8	RELA
MAPK8	STAT1
NFKB1	JUN
NFKB1	RELA
RELA	JUN
RELA	NFKB1
STAT1	RELA
TNFRSF1A	NFKB1
TNFRSF1A	RELA
TNFRSF8	NFKB1
TNFSF12	MAPK8
TNFSF12	TNFRSF1A
TNFSF12	TNFRSF8
JUN	IL12A
NFKB1	IL12A
RELA	IL12A
STAT1	IL12A
