from	to
EP300	NFKB1
EP300	RELA
EP300	SGK1
EP300	SP1
IL17A	NFKB1
IL17A	RELA
IL17A	SGK1
NFKB1	RELA
RELA	NFKB1
RELA	SP1
SGK1	EP300
SGK1	NFKB1
SGK1	SP1
EP300	CXCL5
NFKB1	CXCL5
RELA	CXCL5
SP1	CXCL5
