from	to
CCK	NFKB1
FGF2	CCK
FGF2	GSK3B
FGF2	JUN
FGF2	STAT3
GSK3B	JUN
GSK3B	NFKB1
GSK3B	SP1
GSK3B	STAT3
JUN	SP1
JUN	STAT3
NFKB1	JUN
JUN	CCL2
NFKB1	CCL2
SP1	CCL2
STAT3	CCL2
