from	to
ERBB4	MYC
GSK3A	GSK3B
GSK3A	JUN
GSK3A	MYC
GSK3A	TP53
GSK3B	GSK3A
GSK3B	JUN
GSK3B	JUND
GSK3B	MYC
GSK3B	TP53
JUN	MYC
JUN	TP53
JUND	MYC
MYC	GSK3B
MYC	TP53
TGFA	ERBB4
TGFA	GSK3A
TGFA	GSK3B
JUN	TGFB1
JUND	TGFB1
MYC	TGFB1
TP53	TGFB1
