from	to
JUN	SP1
MAPK8	JUN
MAPK8	RELA
MAPK8	SP1
NFKB1	JUN
NFKB1	RELA
RELA	JUN
RELA	NFKB1
RELA	SP1
TNFRSF1A	NFKB1
TNFRSF1A	RELA
TNFRSF8	NFKB1
TNFSF12	MAPK8
TNFSF12	TNFRSF1A
TNFSF12	TNFRSF8
JUN	TNF
NFKB1	TNF
RELA	TNF
SP1	TNF
