from	to
ESR1	JUN
JUN	ESR1
NFKB1	JUN
NFKB1	RELA
RELA	JUN
RELA	NFKB1
S100A6	ESR1
TNF	JUN
TNF	NFKB1
TNF	RELA
TNF	S100A6
ESR1	CXCL8
JUN	CXCL8
NFKB1	CXCL8
RELA	CXCL8
